commit	primary_metric	id_move_acc	id_solve_rate	mean_residual	num_steps	status	description
140918	0.000000	0.217608	0.000000	20.25	247	keep	baseline: D=4 dim=256 T=1024 B=16 TBS=65K structured-14tok unconstrained
142741	0.000000	0.337209	0.000000	20.33	3596	keep	T=96 B=64 TBS=6144 structured-14tok constrained-decoding (256 episodes)
143626	0.000000	0.370432	0.000000	20.00	3632	keep	+4096 episodes (38K train examples)
144956	0.000000	0.438538	0.000000	19.95	5128	keep	compact-3tok answer format T=72 TBS=4608
150142	0.000000	0.348837	0.000000	19.92	3259	discard	D=6 dim=384 10.7M params - too slow, fewer epochs
150805	0.000000	0.441860	0.000000	19.48	4986	keep	flat state (no markers) T=36 TBS=2304 warmdown=0.3
exp6	0.015625	0.401993	0.015625	19.50	5326	keep	+action history(3) +no-inverse rule MAX_SEQ=48 T=40 TBS=2560
exp7	0.000000	0.471761	0.000000	-	5473	discard	warmdown=0.15 (worse solve rate despite higher move_acc)
exp8	0.000000	0.458472	0.000000	-	5506	discard	+state-avoidance search +residual-guided turns (residual minima trap)
exp9	0.000000	0.478261	0.000000	-	5756	discard	HEAD_DIM=64 (4 heads) 1024 episodes uniform-face residual
exp10	0.000000	0.530100	0.000000	-	5913	keep	joint MOVE_face_turn tokens (1-token answer, 19-class classifier)
exp13	0.046875	0.519868	0.046875	10.62	6158	keep	hybrid search + 2048 episodes + MATRIX_LR=0.06
exp14	0.031250	0.560201	0.031250	-	6056	discard	1024 episodes + LR=0.08 + warmup (higher acc but less generalization)
exp15	0.078125	0.500000	0.078125	10.52	4774	keep	BEST: 4096 episodes + MATRIX_LR=0.08 + hybrid search
exp16	0.031250	0.505000	0.031250	11.47	4079	discard	8192 episodes (too many, only 3.4 epochs)
exp17	0.031250	0.417219	0.031250	10.27	3851	discard	DAgger 4096eps (61K examples, only 4 epochs - underfitting)
exp18	0.000000	0.506536	0.000000	10.33	4461	discard	DAgger 2048eps temp=1.0 (too noisy sampling)
repro	0.015625	0.485050	0.015625	11.78	5019	keep	exp15 baseline reproduction (deterministic, clean)
curr1	0.046875	0.485050	0.046875	10.67	4660	keep	+curriculum scramble lengths [2,4,6,8,10,14]
curr3	0.085938	0.579100	0.085938	10.20	4857	keep	curriculum + 256 eval eps + solver hang fix (22/256 solved)
nocurr	0.070312	0.613172	0.070312	9.32	5920	keep	no-curriculum baseline w/ 256 eval (18/256)
lr12	0.117188	0.563985	0.117188	8.52	6016	keep	BEST: MATRIX_LR=0.12 75 rollout steps (30/256 solved)
look2	0.015625	0.550876	0.015625	9.67	5797	discard	2-ply deterministic lookahead (top-3, discount=0.5): regression in solve rate and ~4x eval wall-clock
dagger1	0.156250	0.615096	0.156250	9.15	5410	keep	BEST: real DAgger mid-training (2995 on-policy examples at step 2721) 40/256 solved
dagger2a	0.078125	0.565888	0.078125	10.38	5585	discard	too much DAgger (300eps/6000ex) + earlier trigger (0.4) — over-diluted
dagger2b	0.109375	0.564637	0.109375	10.14	5542	keep	reproduce best DAgger config (200eps) — 28/256 solved (confirms improvement)
2rnd	0.078125	0.580901	0.078125	10.45	5316	discard	two DAgger rounds (150eps each at 33%/66%) — diluted
